question,authors,year,title,venue,doi,doi_url,study_design,sample,population_mismatch,claim_supported,retracted_flag_openalex,retracted_flag_crossref,sweep_track
A1,"Patrick G Kidman, Rachel Curtis, Amanda Watson, Carol Maher",2024,When and Why Adults Abandon Lifestyle Behavior and Mental Health Mobile Apps: Scoping Review,Journal of Medical Internet Research,10.2196/56897,https://doi.org/10.2196/56897,scoping review (PRISMA-ScR),"adults in free-living conditions, general population","General adult population lifestyle/mental-health apps, not ADHD-specific, no virtual pet",App abandonment is the normal case; synthesises duration of use and reasons for abandonment,False,False,Character guilt
A1,"Ping Liu, Shouwei Li",2024,So hard to say goodbye? A study on the impact of anthropomorphism on the retention of idle products,Journal of Retailing and Consumer Services,10.1016/j.jretconser.2024.104019,https://doi.org/10.1016/j.jretconser.2024.104019,observational/survey study,"adult consumers, general population","Consumer retention behaviour, not app engagement; general population",Anthropomorphism increases retention of idle products,False,False,Character guilt
A1,"Roxanne D. Hawkins, Emma L. Hawkins, Liesbeth Tip",2021,“I Can’t Give Up When I Have Them to Care for”: People’s Experiences of Pets and Their Mental Health,Anthrozoös,10.1080/08927936.2021.1914434,https://doi.org/10.1080/08927936.2021.1914434,qualitative online survey with thematic analysis,"119 adults (41 with a diagnosed mental health condition, 70 recently struggling), self-selected","Real companion animals, not a virtual character; mental-health but not ADHD samples","Real pets provide motivation and behavioural activation — the mechanism the design digitises — but as a benefit theme, not evidence about a virtual pet",False,False,Character guilt
A1,"Sahara Byrne, Geri Gay, J. P. Pollack, Amy L. Gonzales, Daniela Retelny, Theodore Lee, Brian Wansink",2012,Caring for Mobile Phone-Based Virtual Pets can Influence Youth Eating Behaviors,Journal of Children and Media,10.1080/17482798.2011.633410,https://doi.org/10.1080/17482798.2011.633410,randomised field experiment,"39 adolescents (US), general population","Adolescents, not adults; general population, no ADHD; breakfast eating, not task initiation; guilt was not measured",The only experimental valence manipulation found: a pet giving BOTH positive and negative feedback doubled breakfast eating versus positive-only or control — removing negative feedback removed the behavioural effect,False,False,Character guilt
A1,"Sarah Diefenbach, Annemarie Müssig",2019,Counterproductive effects of gamification: An analysis on the example of the gamified task manager Habitica,International Journal of Human-Computer Studies,10.1016/j.ijhcs.2018.09.004,https://doi.org/10.1016/j.ijhcs.2018.09.004,interpretative phenomenological analysis + quantitative field study (qualitative),"adults, self-selected Habitica users (n=1 IPA; n=45 two-week field study), general population","Self-selected gamified-task-manager users, no ADHD screening; system DOES punish, unlike PetTodo",All users experienced counterproductive gamification effects; prevalence correlated with perceived inappropriateness of reward system and predicted motivation change,False,False,Character guilt
A1,"Sun Joo Ahn, Kyle Johnsen, Tom P. Robertson, James N. Moore, Scott A. Brown, Amanda Marable, Aryabrata Basu",2015,Using Virtual Pets to Promote Physical Activity in Children: An Application of the Youth Physical Activity Promotion Model,Journal of Health Communication,10.1080/10810730.2015.1018597,https://doi.org/10.1080/10810730.2015.1018597,controlled trial with activity monitors,"children, general population","Children, general population; physical activity, not task initiation; not a warmth-only design","Virtual pet increased daily physical activity by 1.09 hours (156%) versus control — but pet fitness DECLINED without user activity, so it is not evidence for warmth-only design",False,False,Character guilt
A1,"Wafa Hammedi, Thomas Leclercq, Ingrid Poncin, Linda Alkire",2021,Uncovering the dark side of gamification at work: Impacts on engagement and well-being,Journal of Business Research,10.1016/j.jbusres.2020.08.032,https://doi.org/10.1016/j.jbusres.2020.08.032,in-depth interviews plus two field experiments,"adult frontline employees, general population","Workplace employees, general population; not self-care and not ADHD","Gamified work reduced engagement and wellbeing, moderated by willingness to participate",False,False,Character guilt
A2,Ahn; Johnsen; Robertson; Moore; Brown; Marable; Basu,2015,Using Virtual Pets to Promote Physical Activity in Children: An Application of the Youth Physical Activity Promotion Model,Journal of Health Communication,10.1080/10810730.2015.1018597,https://doi.org/10.1080/10810730.2015.1018597,"controlled experiment (3 days), activity monitors","children, general population",children; 3-day duration far below PetTodo horizon; physical activity not task completion,1.09 extra hours daily activity (156%) in virtual-pet condition,False,False,Pet mechanics
A2,Ahn; Schmidt; Tate; Rathbun; Annesi; Hahn; Novotny; Okitondo; Grimsley; Johnsen,2024,Virtual fitness buddy ecosystem: a mixed reality precision health physical activity intervention for children,npj Digital Medicine,10.1038/s41746-024-01133-5,https://doi.org/10.1038/s41746-024-01133-5,cluster randomized controlled trial,"children 6-11, general population, no ADHD relevance","severe: children, physical activity, parent-mediated; pet was bundled with parental feedback so pet effect is not isolated",strongest measured behaviour-change evidence for a virtual pet mechanic (objective accelerometry),False,False,Pet mechanics
A2,Bul; Kato; Oord; Danckaerts; Vreeke; Willems; Oers; Heuvel; Birnie; Amelsvoort; Franken; Maras,2016,Behavioral Outcome Effects of Serious Gaming as an Adjunct to Treatment for Children With Attention-Deficit/Hyperactivity Disorder: A Randomized Controlled Trial,Journal of Medical Internet Research,10.2196/jmir.5173,https://doi.org/10.2196/jmir.5173,multisite randomized crossover trial (n=170),"children 8-12, clinically diagnosed ADHD",children; parent-reported outcomes; no pet care mechanic,serious game adjunct improved parent-reported time-management skills (p=.004),False,False,Pet mechanics
A2,Byrne; Gay; Pollack; Gonzales; Retelny; Lee; Wansink,2012,Caring for Mobile Phone-Based Virtual Pets can Influence Youth Eating Behaviors,Journal of Children and Media,10.1080/17482798.2011.633410,https://doi.org/10.1080/17482798.2011.633410,randomized field experiment,"adolescents (n=39), general population","adolescents, eating behaviour; but directly manipulates the warmth-only variable PetTodo fixes","pet giving BOTH positive and negative feedback doubled breakfast eating vs positive-only, which did not beat control",False,False,Pet mechanics
A2,Capistrán; Alor‐Hernández; Sánchez-Morales; Machorro-Cano,2025,A decade of apps for ADHD management: a scoping review,Behaviour and Information Technology,10.1080/0144929x.2025.2461225,https://doi.org/10.1080/0144929x.2025.2461225,scoping review,"apps (46 of 3474 records), not people","app-level review, no efficacy data",levels and statistics most common gamification elements; only 2 of 35 commercial ADHD apps medically endorsed,False,False,Pet mechanics
A2,Chen; Liao; Chien; Chan,2011,Animal companions: Fostering children's effort‐making by nurturing virtual pets,British Journal of Educational Technology,10.1111/j.1467-8535.2009.01003.x,https://doi.org/10.1111/j.1467-8535.2009.01003.x,preliminary controlled experiment,"children, general population",children; education setting; observer-coded effort not task completion,virtual animal companion improved quality of effort-making learning behaviours,False,False,Pet mechanics
A2,Dodd; Fowler; Lottridge,2025,Purr-ogrammed love: A narrative review of virtual pets,Entertainment Computing,10.1016/j.entcom.2025.100958,https://doi.org/10.1016/j.entcom.2025.100958,narrative review,"literature (45 articles), mixed",not an efficacy source,"framing of virtual-pet research themes incl. life/death, health/habits, ethics",False,False,Pet mechanics
A2,Fujinami,2019,Facilitating Unmotivated Tasks Based on Affection for Virtual Pet,2019 IEEE International Conference on Pervasive Computing and Communications Workshops (PerCom Workshops),10.1109/percomw.2019.8730777,https://doi.org/10.1109/percomw.2019.8730777,controlled experiment,"adults, general population, no ADHD relevance",adults but non-ADHD; task was ML data collection not a personal to-do item,affection for virtual pet rose significantly but task-request acceptance rate did NOT increase,False,False,Pet mechanics
A2,Hahn; Schmidt; Rathbun; Johnsen; Annesi; Ahn,2020,Using virtual agents to increase physical activity in young children with the virtual fitness buddy ecosystem: Study protocol for a cluster randomized trial,Contemporary Clinical Trials,10.1016/j.cct.2020.106181,https://doi.org/10.1016/j.cct.2020.106181,study protocol for cluster randomized trial,"children 6-11, general population",same as Ahn 2024,documents design of the Virtual Fitness Buddy trial,False,False,Pet mechanics
A2,Johnsen; Ahn; Moore; Brown; Robertson; Marable; Basu,2014,Mixed Reality Virtual Pets to Reduce Childhood Obesity,IEEE Transactions on Visualization and Computer Graphics,10.1109/tvcg.2014.33,https://doi.org/10.1109/tvcg.2014.33,controlled field study,"children (n=61) at summer camp, general population",children; short deployment; physical activity,large increase in recorded and observed activity attributed to virtual pet,False,False,Pet mechanics
A2,Mazéas; Duclos; Pereira; Chalabaëv,2022,Evaluating the Effectiveness of Gamification on Physical Activity: Systematic Review and Meta-analysis of Randomized Controlled Trials,Journal of Medical Internet Research,10.2196/26779,https://doi.org/10.2196/26779,"systematic review and meta-analysis (16 RCTs, 2407 participants)","adults and adolescents, general and chronic-disease, no ADHD relevance","physical activity; generic gamification (points/badges/challenges), not pet care","gamified interventions raise physical activity, Hedges g=0.42 (95% CI 0.14-0.69)",False,False,Pet mechanics
A2,Selaskowski; Reiland; Schulze; Aslan; Kannen; Wiebe; Wallbaum; Boll; Lux; Philipsen; Braun,2023,Chatbot-supported psychoeducation in adult attention-deficit hyperactivity disorder: randomised controlled trial,BJPsych Open,10.1192/bjo.2023.573,https://doi.org/10.1192/bjo.2023.573,"randomized controlled trial (n=40 randomized, 34 completers)","adults, clinically diagnosed ADHD","right population, no pet mechanic; null on interactive-agent superiority",symptoms fell in both arms; no group x intervention interaction for chatbot vs conventional app,False,False,Pet mechanics
A2,Selaskowski; Steffens; Schulze; Lingen; Aslan; Rosén; Kannen; Wiebe; Wallbaum; Boll; Lux; Philipsen; Braun,2022,Smartphone-assisted psychoeducation in adult attention-deficit/hyperactivity disorder: A randomized controlled trial,Psychiatry Research,10.1016/j.psychres.2022.114802,https://doi.org/10.1016/j.psychres.2022.114802,randomized controlled trial (n=60 randomized),"adults, clinically diagnosed ADHD","right population, wrong mechanic: no pet; delivered alongside 8 clinician-led group sessions","only randomized adult-ADHD app evidence; app-assisted psychoeducation beat brochures on inattention, impulsivity, homework compliance",False,False,Pet mechanics
A2,Six; Byrne; Tibbett; Pericot‐Valverde,2021,Examining the Effectiveness of Gamification in Mental Health Apps for Depression: Systematic Review and Meta-analysis,JMIR Mental Health,10.2196/32199,https://doi.org/10.2196/32199,"meta-analysis (38 studies, 8110 participants)","mostly adults, clinical and subclinical depression",depressive symptoms not ADHD or task completion,apps reduced depression (g=-0.27) but gamification moderated neither symptoms (p=.38) nor adherence (p=.40),False,False,Pet mechanics
A3,Amy O'Connell; Ashveen Banga; Jennifer Ayissi; Nikki Yaminrafie; Ellen Ko; Andrew Le; Bailey Cislowski; Maja J. Matarić,2024,Design and Evaluation of a Socially Assistive Robot Schoolwork Companion for College Students with ADHD,Proceedings of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,10.1145/3610977.3634929,https://doi.org/10.1145/3610977.3634929,three-week within-subjects field study (n=11),"adults (college students), self-reported adult ADHD symptoms","Outcomes are usability, design feedback and voluntary continuation — not task initiation or completion vs control",A socially assistive robot 'body double' was voluntarily used (10/11 continued into week two),False,False,External anchors
A3,Caterina Gawrilow; Peter M. Gollwitzer,2008,Implementation Intentions Facilitate Response Inhibition in Children with ADHD,Cognitive Therapy and Research,10.1007/s10608-007-9150-1,https://doi.org/10.1007/s10608-007-9150-1,experimental study,"children, diagnosed ADHD","Children; lab inhibition task, not real-world initiation",If-then plans improved response inhibition in children with ADHD,False,False,External anchors
A3,Caterina Gawrilow; Peter M. Gollwitzer; Gabriele Oettingen,2011,If-Then Plans Benefit Executive Functions in Children with ADHD,Journal of Social and Clinical Psychology,10.1521/jscp.2011.30.6.616,https://doi.org/10.1521/jscp.2011.30.6.616,two experimental studies,"children, diagnosed ADHD",Children; lab executive-function tasks — but this is controlled ADHD evidence for the planning approach PetTodo omits,"If-then plans improved shifting, resistance to distraction and maths performance in children with ADHD",False,False,External anchors
A3,Charles F. Bond; Linda Titus,1983,Social facilitation: A meta-analysis of 241 studies.,Psychological Bulletin,10.1037/0033-2909.94.2.265,https://doi.org/10.1037/0033-2909.94.2.265,"meta-analysis (241 studies, ~24,000 subjects)","general population, no ADHD relevance",No ADHD samples; cited as the general ceiling on the 'presence of another person' mechanism — and it is a low ceiling that runs against the design,"Mere presence of others explains only 0.3-3% of variance, speeds simple but SLOWS complex task performance and impairs complex accuracy",False,False,External anchors
A3,Gregor Kohls; Beate Herpertz‐Dahlmann; Kerstin Konrad,2009,Hyperresponsiveness to social rewards in children and adolescents with attention-deficit/hyperactivity disorder (ADHD),Behavioral and Brain Functions,10.1186/1744-9081-5-20,https://doi.org/10.1186/1744-9081-5-20,experimental incentive go/no-go task,"children and adolescents, diagnosed ADHD","Children/adolescents; lab inhibition task — supports warmth-only social reinforcement as a reinforcer, NOT the pet as an initiation anchor","ADHD participants gained MORE from social reward (positive facial expressions) than controls, while self-rated motivation was lower",False,False,External anchors
A3,Helen Brooks; Kelly Rushton; Karina Lovell; Penny Bee; Lauren Walker; Laura Grant; Anne Rogers,2018,The power of support from companion animals for people living with mental health problems: a systematic review and narrative synthesis of the evidence,BMC Psychiatry,10.1186/s12888-018-1613-2,https://doi.org/10.1186/s12888-018-1613-2,systematic review and narrative synthesis,"adults with long-term mental health conditions; general mental health, not ADHD","No ADHD sample; predominantly qualitative evidence base; measures perceived roles, not task initiation",Companion animals contribute to the everyday 'work' of managing a long-term mental health condition,False,False,External anchors
A3,Lily Widdison; Ana Maria Barcelos; Stamatina Tsiora; Andrei Zarie; Daniel S. Mills; Niko Kargas,2026,"Exploring Cat–Human Interaction as a Psychosocial Resource in Autism and ADHD: Risks, Engagement, and Well-Being",Behavioral Sciences,10.3390/bs16020162,https://doi.org/10.3390/bs16020162,cross-sectional correlational survey,"adults, 127 total including 15 clinically diagnosed ADHD and 22 co-occurring autism+ADHD","n=15 ADHD cell; wellbeing outcomes only, no task behaviour; correlational — but the closest empirical analogue of the guilt-debt counter-risk","Specific cat-related factors — anxious cat behaviour, INABILITY TO PROVIDE for the cat, poor cat health — were associated with worse wellbeing; relationship is bi-directional",False,False,External anchors
A3,Peter M. Gollwitzer; Paschal Sheeran,2006,Implementation Intentions and Goal Achievement: A Meta‐analysis of Effects and Processes,Advances in experimental social psychology,10.1016/s0065-2601(06)38002-1,https://doi.org/10.1016/s0065-2601(06)38002-1,meta-analysis,general population,No ADHD sample; cited to show the rejected arm of the comparison is the better-evidenced one,Implementation intentions (if-then plans) have a substantial effect on goal attainment — the planning-based comparator the design rejects,False,False,External anchors
A3,Ryan Schuenke; Sidney R Dickenson; Meredith Moore,2025,Reading Between the Lines: Exploring Body Doubling in ADHD Using EEG,Proceedings of the 27th International ACM SIGACCESS Conference on Computers and Accessibility,10.1145/3663547.3759743,https://doi.org/10.1145/3663547.3759743,within-subjects experiment with EEG (n=26),"adults, mixed neurotypical and ADHD (medicated and unmedicated)","Measured reading-comprehension performance under observation, not self-initiated everyday tasks; n=26 badly underpowered",The only controlled test of body doubling retrieved: NULL — no significant difference vs working alone,False,False,External anchors
A3,Sabrina Schuck; Natasha A. Emmerson; Aubrey H. Fine; Kimberley D. Lakes,2015,Canine-Assisted Therapy for Children With ADHD,Journal of Attention Disorders,10.1177/1087054713502080,https://doi.org/10.1177/1087054713502080,randomised clinical trial (preliminary findings),"children, clinically diagnosed ADHD (n=24)","Children; the dog is a therapy adjunct delivered by clinicians, not an animal the participant is responsible for; no initiation measure",Canine-assisted intervention added to a 12-week CBT group reduced ADHD symptom severity more than CBT alone,False,False,External anchors
A3,Shuxin Yu; Hui Xue; Yuqing Xie; Guanyue Shao; Yihui Hao; Lijun Fan; Wei Du,2025,Review: Animal‐assisted intervention for children with attention‐deficit/hyperactivity disorder – a systematic review and meta‐analysis,Child and Adolescent Mental Health,10.1111/camh.12744,https://doi.org/10.1111/camh.12744,systematic review and meta-analysis (17 studies retrieved),"children, clinically diagnosed ADHD (307 across 8 pooled RCTs)","Children only; clinician-delivered sessions with a visiting animal, not the user caring for their own pet; no initiation outcome","Animal-assisted intervention improved attention problems (SMD -0.42), self-esteem, learning/cognition and motor proficiency but was NULL on ADHD symptom severity (0.10, -0.31 to 0.52)",False,False,External anchors
A3,Tessa Eagle; Leya Breanna Baltaxe-Admony; Kathryn E. Ringland,2023,Proposing Body Doubling as a Continuum of Space/Time and Mutuality: An Investigation with Neurodivergent Participants,The 25th International ACM SIGACCESS Conference on Computers and Accessibility,10.1145/3597638.3614486,https://doi.org/10.1145/3597638.3614486,survey / qualitative (n=220),"adults, self-identified neurodivergent (no diagnostic verification)","Closest population match, but no ADHD diagnosis and no behavioural or initiation outcome measured — descriptive only","Establishes body doubling as a real, self-reported community practice used to start and sustain tasks",False,False,External anchors
A3,Tessa Eagle; Leya Breanna Baltaxe-Admony; Kathryn E. Ringland,2024,“It Was Something I Naturally Found Worked and Heard About Later”: An Investigation of Body Doubling with Neurodivergent Participants,ACM Transactions on Accessible Computing,10.1145/3689648,https://doi.org/10.1145/3689648,"survey / qualitative (same n=220 cohort, journal version)","adults, self-identified neurodivergent","Same 220 participants as the 2023 ASSETS paper — not independent evidence; self-identified, not diagnosed","Community definition of body doubling as using another's presence to start, stay focused on, or accomplish a task",False,False,External anchors
A3,Vitica X. Arnold; Aehong Min; Clarisse Bonang; Sohyeon Park; Gillian R. Hayes; Anne Marie Piper,2025,Beyond Individual Accommodations: The Collaborative Practices of ADHD Students in Post-Secondary Education,Proceedings of the 27th International ACM SIGACCESS Conference on Computers and Accessibility,10.1145/3663547.3746324,https://doi.org/10.1145/3663547.3746324,qualitative analysis of online community discussions,"adults (post-secondary students), self-identified ADHD","Reddit-post analysis: establishes prevalence of a self-reported strategy, not efficacy",ADHD students report general strategies as inadequate and instead use co-presence/body doubling for accountability and focus,False,False,External anchors
A4,Christopher P. Cerasoli; Jessica M. Nicklin; Michael T. Ford,2014,Intrinsic motivation and extrinsic incentives jointly predict performance: A 40-year meta-analysis.,Psychological Bulletin,10.1037/a0035661,https://doi.org/10.1037/a0035661,meta-analysis,"general population; students and employees; k=183, N=212,468","Adults but general population; measured performance, not app retention or ADHD","Intrinsic motivation predicts performance whether or not incentives present, but predicts less when incentives are directly performance-contingent (crowding out)",False,False,Reward and EF
A4,Cláuvin Almeida; Marcos Kalinowski; Anderson Uchôa; Bruno Feijó,2023,Negative effects of gamification in education software: Systematic mapping and practitioner perceptions,Information and Software Technology,10.1016/j.infsof.2022.107142,https://doi.org/10.1016/j.infsof.2022.107142,systematic mapping plus practitioner survey,general population; educational software practitioners and students,Educational software; no ADHD sample; no measurement of cheating for rewards,Gamification has recognised negative effects in practice,False,False,Reward and EF
A4,Douglas A. Parry; Brittany I Davidson; Craig Sewall; Jacob T. Fisher; Hannah Mieczkowski; Daniel Quintana,2021,A systematic review and meta-analysis of discrepancies between logged and self-reported digital media use,Nature Human Behaviour,10.1038/s41562-021-01117-5,https://doi.org/10.1038/s41562-021-01117-5,systematic review and meta-analysis,mostly adults; general population,Not about reward-driven falsification and not about ADHD,Self-reported digital media use correlates only weakly-to-moderately with logged use and is rarely accurate - general reason to distrust self-reported completions,False,False,Reward and EF
A4,Edward L. Deci; Richard Koestner; Richard M. Ryan,1999,A meta-analytic review of experiments examining the effects of extrinsic rewards on intrinsic motivation.,Psychological Bulletin,10.1037/0033-2909.125.6.627,https://doi.org/10.1037/0033-2909.125.6.627,meta-analysis of 128 experiments,general population; children and college students; no ADHD relevance,"No ADHD sample at all; laboratory free-choice paradigms, not app use by self-identifying adults","Canonical undermining effect: engagement-contingent d=-0.40, completion-contingent d=-0.36, performance-contingent d=-0.28; positive feedback +0.33 free-choice",False,False,Reward and EF
A4,Edward L. Deci; Richard Koestner; Richard M. Ryan,2001,Extrinsic Rewards and Intrinsic Motivation in Education: Reconsidered Once Again,Review of Educational Research,10.3102/00346543071001001,https://doi.org/10.3102/00346543071001001,meta-analytic rebuttal,general population,No ADHD sample; education policy context,Deci/Ryan side of the dispute: Cameron & Pierce analysis argued to be flawed; tangible rewards do substantially undermine,False,False,Reward and EF
A4,Gail Tripp; Jeffery R. Wickens,2008,Research Review: Dopamine transfer deficit: a neurobiological theory of altered reinforcement mechanisms in ADHD,Journal of Child Psychology and Psychiatry,10.1111/j.1469-7610.2007.01851.x,https://doi.org/10.1111/j.1469-7610.2007.01851.x,theoretical review (dopamine transfer deficit),children; clinically diagnosed ADHD,"Theory paper, children-focused; not an empirical test in adults",Diminished anticipatory dopamine firing to reward-predicting cues; predicts dependence on immediate rather than cued/delayed reinforcement,False,False,Reward and EF
A4,Judy Cameron; Katherine M. Banko; W. David Pierce,2001,Pervasive negative effects of rewards on intrinsic motivation: The myth continues,The Behavior Analyst,10.1007/bf03392017,https://doi.org/10.1007/bf03392017,counter-rebuttal review,general population,No ADHD sample,Cameron/Pierce side of the dispute; shows the literature is genuinely contested and must be presented as such,False,False,Reward and EF
A4,Judy Cameron; W. David Pierce,1994,"Reinforcement, Reward, and Intrinsic Motivation: A Meta-Analysis",Review of Educational Research,10.3102/00346543064003363,https://doi.org/10.3102/00346543064003363,meta-analysis of 96 experiments,general population; mixed ages,No ADHD sample; education/lab settings,Counter-position: reward overall does not decrease intrinsic motivation; verbal praise increases it; negative effect confined to expected tangible rewards for mere task doing,False,False,Reward and EF
A4,Marjolein Luman; Gail Tripp; Anouk Scheres,2010,Identifying the neurobiology of altered reinforcement sensitivity in ADHD: A review and research agenda,Neuroscience & Biobehavioral Reviews,10.1016/j.neubiorev.2009.11.021,https://doi.org/10.1016/j.neubiorev.2009.11.021,review of seven neurobiological models,mixed; clinically diagnosed ADHD,Explicitly cautions the evidence base is incomplete; diagnosed samples,Altered reinforcement sensitivity in ADHD is inconsistent across studies and its subgroup structure is unknown,False,False,Reward and EF
A4,Marjolein Luman; Jaap Oosterlaan; J SERGEANT,2005,The impact of reinforcement contingencies on AD/HD: A review and theoretical appraisal,Clinical Psychology Review,10.1016/j.cpr.2004.11.001,https://doi.org/10.1016/j.cpr.2004.11.001,systematic review of 22 studies,"children; clinically diagnosed AD/HD; 22 studies, N=1181",Children and clinically diagnosed - double mismatch with self-identifying adults,Reinforcement contingencies improved task performance and motivation in ADHD (somewhat more than controls); high-intensity reinforcement effective; immediate preferred over delayed,False,False,Reward and EF
A4,Michael M. Plichta; Anouk Scheres,2014,Ventral–striatal responsiveness during reward anticipation in ADHD and its relation to trait impulsivity in the healthy population: A meta-analytic review of the fMRI literature,Neuroscience & Biobehavioral Reviews,10.1016/j.neubiorev.2013.07.012,https://doi.org/10.1016/j.neubiorev.2013.07.012,meta-analysis of fMRI studies,mixed child/adult ADHD (clinically diagnosed) plus healthy trait-impulsivity samples,"Measures brain response, not task completion; diagnosed samples","Ventral striatal hypo-responsiveness during reward anticipation in ADHD, d=0.48-0.58",False,False,Reward and EF
A4,Robert Eisenberger; Judy L. Cameron,1996,Detrimental effects of reward: Reality or myth?,American Psychologist,10.1037/0003-066x.51.11.1153,https://doi.org/10.1037/0003-066x.51.11.1153,narrative review / critical analysis,general population,No ADHD sample,"Detrimental effects of reward occur under highly restricted, easily avoidable conditions",False,False,Reward and EF
